MATERIAL_CONFLICT,any_diff,course_code,course_name,campus,field,A_uploaded_sheet,B_website,C_counsellor_course_tab,D_whatsapp,E_navya,CHOSEN_VALUE (fill this in),NOTES
YES,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,duration,5 Years (10 Semesters),5 years (semester),,,BA LLB: 5 Years. LLB: 3 Years.,,
YES,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,eligibility,10+2 with 44.5% marks for Gen. 42% marks for OBC and 39.5% marks for SC/ST. (All subjects),Passed 10+2 or equivalent with minimum 45% marks. Admission through CLAT or direct.,"10+2 any stream with 44.5% (Gen), 42% (OBC), 39.5% (SC/ST). CLAT preferred. Intake: 120. || 10+2 min 44.5%; subjects: Any Stream 10+2",10+2 with min 50%.,"BA LLB: 12th pass, min 45%. LLB: Graduation in any stream, min 45% (40% SC/ST/OBC).",,
YES,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,fee_first_year,100000,70000,,,"BA LLB: Rs 1,10,000/year | LLB: Rs 44,250/year (first year fees)",,
YES,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,duration,3 Years,3 years (semester),,,3 Years (6 Semesters),,
YES,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,eligibility,"Candidate needs to submit application with SOP. UG 50 %, 45% for SC/ST/OBC",Passed 10+2 or equivalent with at least 45% marks from any recognised board.,10+2 with 45% marks for GEN/OBC and 40% marks for SC/ST. All streams accepted. || 10+2 min 45%; SC/ST 40.0%; subjects: Any Stream 10+2,10+2 with min 50% (any stream).,12th pass from any stream. Minimum 45% aggregate.,,
YES,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,fee_first_year,70000,55000,,,"Rs 75,000 per year (first year fee)",,
YES,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,intake_seats,120,60,120,,,,
YES,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,duration,3 Years,3 years (semester),,,3 Years (6 Semesters),,
YES,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,eligibility,"Candidate needs to submit application with SOP. UG 50 %, 45% for SC/ST/OBC",Passed 10+2 or equivalent with at least 45% marks. Mathematics/Computer Science preferred.,"10+2 with 45% marks for GEN/OBC and 40% marks for SC/ST. Accepted streams: Art with Maths / Agriculture / Biology / Science / Commerce. For Arts stream, Mathematics is mandatory at High School or Intermediate level. || 10+2 min 45%; SC/ST 40.0%; subjects: Any Stream 10+2",10+2 with min 50% (any stream).,12th pass with Mathematics. Minimum 45-50% aggregate.,,
YES,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,fee_first_year,70000,55000,,,"Rs 75,000 per year (first year fee)",,
YES,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,intake_seats,120,60,120,,,,
YES,yes,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,duration,2 Years,2 years (annual),,,2 Years (4 Semesters),,
YES,yes,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,eligibility,"Arts, Science, Humanities Graduate with minimum 50% (For General and OBC). BE/BTech graduates with minimum 55%. Visually Impaired candidates will be offered relaxation of 5% in eligibility. No minimum % for SC/ST",Bachelor's degree with minimum 50% marks from any recognised university. Admission through UP PTET entrance exam.,Graduate with min 50% (Gen/OBC). B.E/B.Tech 55%. SC/ST no minimum %. Intake: 100. || graduation required (min 50%); subjects: Any Graduate,10+2 / Graduation with min 50%.,Arts/Science/Humanities graduates: min 50% (45% SC/ST). B.E./B.Tech: min 55%.,,
YES,yes,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,fee_first_year,,60000,,,"Rs 56,000/year (Greater Noida & Ghaziabad) | Rs 27,000/year (Kotputli) — first year fee",,
YES,yes,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),duration,2 Years,2 years (annual),,,2 Years (4 Semesters),,
YES,yes,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),eligibility,"Arts, Science, Humanities Graduate with minimum 50% (For General and OBC). BE/BTech graduates with minimum 55%. Visually Impaired candidates will be offered relaxation of 5% in eligibility. No minimum % for SC/ST",Bachelor's degree with minimum 50% marks. Admission through UP PTET. NCTE & CCSU approved.,Graduate with min 50% (Gen/OBC). B.E/B.Tech 55%. SC/ST no minimum %. Intake: 100. || graduation required (min 50%); subjects: Any Graduate,10+2 / Graduation with min 50%.,Arts/Science/Humanities graduates: min 50% (45% SC/ST). B.E./B.Tech: min 55%.,,
YES,yes,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),fee_first_year,,60000,,,"Rs 56,000/year (Greater Noida & Ghaziabad) | Rs 27,000/year (Kotputli) — first year fee",,
YES,yes,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,duration,2 Years,2 years (annual),,,2 Years (4 Semesters),,
YES,yes,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,eligibility,"Only for Female Candidates. Graduate Or Equivalent - 50% , 45% for OBC, 40% for SC/ST",Bachelor's degree with minimum 50% marks. Admission through Rajasthan PTET entrance exam. University of Rajasthan affiliated.,"Female candidates only. Graduate with 50% (45% OBC, 40% SC/ST). Intake: 100. || graduation required (min 50%); subjects: Any Graduate",10+2 / Graduation with min 50%.,Arts/Science/Humanities graduates: min 50% (45% SC/ST). B.E./B.Tech: min 55%.,,
YES,yes,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,fee_first_year,,55000,,,"Rs 56,000/year (Greater Noida & Ghaziabad) | Rs 27,000/year (Kotputli) — first year fee",,
YES,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,age,Minimum age for admission is 17 years on or before 31st December of admission year. No upper age limit.,,17-,,,,
YES,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,duration,4 Years (3 Years + 1 Year Internship),4 years (semester),,,4 Years (including internship),,
YES,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,eligibility,"Candidate must have passed Senior Secondary (10+2) or equivalent with Physics, Chemistry & Biology. Admission on the basis of Senior Secondary (10+2) Merit. Lateral Entry to candidates in 2nd Year (3rd Semester) who have passed Diploma in same discpline.","10+2 or equivalent with Physics, Chemistry, Biology and English pass. Minimum 50% PCB aggregate; 40% for SC/ST/OBC-NCL/PwD.","BMRIT: ISCO Code 3211. Eligibility: 10+2 PCB with 50% aggregate, English pass; 40% for SC/ST/OBC-NCL/PwD. UP 2026-27 admission is through ABVMU CAHET counselling; NEET UG exempt this year. Intake: 40. || 10+2 min 50%; subjects: PCB (English Mandatory)","10+2 PCB with 50% aggregate (40% SC/ST/OBC-NCL/PwD), English pass. UP 2026-27 admission via ABVMU CAHET counselling.","10+2 with Physics, Chemistry, Biology and English pass. Minimum 50% PCB aggregate; 40% for SC/ST/OBC-NCL/PwD. ISCO Code 3211.",,
YES,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,entrance_exam,Combined Paramedical Entrance Test (CPET),CAHET 2026 counselling by ABVMU Lucknow,CAHET 2026 Registration,,UP 2026-27: CAHET counselling by ABVMU Lucknow; NEET UG exempt this year,,
YES,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,fee_first_year,,85000,,,"Rs 92,000 per year (first year fee)",,
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,age,"""Minimum age for admission is 17 years on or before 31st December of admission year. No upper age limit.""",,17-,,,,
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,duration,5 Years ( 4 Years + 1 Year Internship),5 years (annual),,,5 Years (4 academic years + 1-year compulsory internship),,
